OrderID,Discount,UnitPrice,ShippingCost,CustomerID,CustomerName,ShipMode,ProductCategory,ProductSubCategory,ProductName,Region,State,City,PostalCode,OrderDate,ShipDate,Profit,Sales,Year,Month,Day
3271,0.07,264.98,17.86,1745,Herbert Holden,Delivery Truck,Technology,Office Machines,Panasonic KX-P1131 Dot Matrix Printer,South,Georgia,Atlanta,30305,2012/12/31,2012/12/31,1844.7713,23065.98,2012,12,31
48774,0.04,243.98,62.94,1060,Gene Gilliam,Delivery Truck,Furniture,Chairs & Chairmats,Hon Deluxe Fabric Upholstered Stacking Chairs,South,Georgia,Atlanta,30318,2013/8/9,2013/8/11,384.2785,14647.56,2013,8,9
86071,0,376.13,85.63,2655,Benjamin Lam,Delivery Truck,Furniture,Tables,Bretford Rectangular Conference Table Tops,South,Georgia,Atlanta,30318,2012/10/3,2012/10/4,-164.0268,7092.73,2012,10,3
11876,0.02,107.53,5.81,1745,Herbert Holden,Regular Air,Furniture,Office Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",South,Georgia,Atlanta,30305,2012/7/3,2012/7/6,1144.9228,6771.68,2012,7,3
13730,0.07,146.34,43.75,471,Ross Simpson,Delivery Truck,Furniture,Tables,Bevis Round Conference Table Top & Single Column Base,South,Georgia,Atlanta,30318,2012/5/9,2012/5/11,-470.986516,5704.74,2012,5,9
58628,0.09,138.75,52.42,1060,Gene Gilliam,Delivery Truck,Furniture,Tables,Balt Split Level Computer Training Table,South,Georgia,Atlanta,30318,2010/3/24,2010/3/25,-445.9717763,2527.79,2010,3,24
21670,0,78.69,19.99,1745,Herbert Holden,Regular Air,Furniture,Office Furnishings,Howard Miller 12-3/4 Diameter Accuwave DS ? Wall Clock,South,Georgia,Atlanta,30305,2012/1/11,2012/1/12,556.6025,2210.86,2012,1,11
86066,0,99.99,19.99,2655,Benjamin Lam,Regular Air,Technology,Computer Peripherals,US Robotics 56K V.92 External Faxmodem,South,Georgia,Atlanta,30318,2011/9/23,2011/9/24,46.38,2149.08,2011,9,23
13634,0.05,39.98,7.12,471,Ross Simpson,Regular Air,Technology,Computer Peripherals,"IBM Active Response Keyboard, Black",South,Georgia,Atlanta,30318,2012/4/18,2012/4/18,70.0217,2062.06,2012,4,18
57061,0.04,22.38,15.1,1060,Gene Gilliam,Regular Air,Office Supplies,Binders and Binder Accessories,"Avery Flip-Chart Easel Binder, Black",South,Georgia,Atlanta,30318,2013/11/30,2013/12/7,-106.54497,1703.81,2013,11,30
